"ID";"1121";"1122";"1130";"1151";"1152";"1160";"Positive_Grant_Equivalent";"Negative_Grant_Equivalent";"Amounts_mobilized"
207;53720,30676;0;0;9713,9151;0;0;0;0;0
298;0;0;0;0;0;NA;NA;NA;NA
301;NA;0;0;NA;0;NA;NA;NA;NA
303;NA;0;0;NA;0;NA;NA;NA;NA
304;NA;0;0;NA;0;NA;NA;NA;NA
305;0;0;0;0;0;NA;NA;NA;NA
306;NA;0;0;NA;0;NA;NA;NA;NA
326;NA;0;0;NA;0;NA;NA;NA;NA
327;NA;0;0;NA;0;NA;NA;NA;NA
340;NA;0;0;NA;0;NA;NA;NA;NA
345;NA;0;0;NA;0;NA;NA;NA;NA
359;NA;922088,96;-1537500;NA;0;NA;NA;NA;NA
388;NA;150090;-2e+05;NA;0;NA;NA;NA;NA
420;NA;NA;-131479,205;NA;NA;NA;NA;NA;NA
425;711910,543;NA;-3321,918;0;NA;NA;NA;NA;NA
751;NA;0;0;NA;0;NA;NA;NA;NA
805;NA;NA;0;NA;NA;NA;NA;NA;NA
1020;NA;NA;0;NA;NA;NA;NA;NA;NA
1030;0;0;0;0;0;0;0;0;0
1041;NA;NA;NA;NA;NA;16178,95873;NA;NA;NA
1042;NA;NA;NA;NA;NA;1946,05391;1946,05391;NA;NA
1045;NA;NA;NA;NA;NA;-1281,67971;NA;-1281,67971;NA
1110;0;0;0;0;0;0;NA;NA;NA
1120;10850,34416;0;0;22200;0;10850,34416;NA;NA;NA
1211;47708,49784;NA;NA;53076,19;NA;44747,14626;NA;NA;NA
1212;152178,98524;NA;NA;156514,16895;NA;152134,87879;NA;NA;NA
1213;10251,83;0;0;3269,83;0;10075,36317;NA;NA;NA
1214;8895,81658;0;0;3947,8216;0;8507,81658;NA;NA;NA
1220;669681,23336;0;0;735052,64781;0;655465,77664;NA;NA;NA
1230;59575,39833;0;0;63358,23355;0;59264,93827;NA;NA;NA
1310;0;0;0;0;0;0;NA;NA;NA
1320;1173935,73359;0;-602,3496;1101253,33488;0;1151293,65254;NA;NA;NA
1330;0;0;0;0;0;0;NA;NA;NA
1410;44976,14334;NA;NA;41908,97248;NA;44797,50122;NA;NA;NA
1420;29167,58188;NA;NA;18633,11475;NA;29124,81044;NA;NA;NA
1510;10237,29339;NA;NA;10862,29339;NA;10237,29339;NA;NA;NA
1520;0;NA;NA;0;NA;0;NA;NA;NA
1611;0;0;0;0;0;0;NA;NA;NA
1614;0;NA;NA;0;NA;0;NA;NA;NA
1615;0;0;0;0;0;0;NA;NA;NA
1616;0;0;0;0;0;0;NA;NA;NA
1617;0;NA;NA;0;NA;0;NA;NA;NA
1621;15000;NA;NA;15000;NA;15000;NA;NA;NA
1622;0;NA;NA;0;NA;0;NA;NA;NA
1623;0;NA;NA;0;NA;0;NA;NA;NA
1624;0;NA;NA;0;NA;0;NA;NA;NA
1630;NA;NA;0;NA;NA;0;NA;NA;NA
1640;NA;NA;0;NA;NA;0;NA;NA;NA
1700;237415,80547;NA;NA;198440,15711;NA;224203,59021;NA;NA;NA
1810;2476,13599;NA;NA;2264,27099;NA;2455,18674;NA;NA;NA
1820;1311409,83831;NA;NA;1311121,83831;NA;1311409,83831;NA;NA;NA
1900;NA;NA;-54192,50076;NA;NA;NA;NA;NA;NA
1901;0;0;0;0;0;0;NA;NA;NA
1902;84381,01861;0;0;71404,38062;0;84159,60505;NA;NA;NA
1903;724874,94572;0;0;789051,11202;0;715134,05123;NA;NA;NA
1904;749924,00328;15000;0;760772,83058;15000;746697,11899;NA;NA;NA
1905;1054,11858;0;0;1054,11858;0;1054,11858;NA;NA;NA
1906;86570,286929;0;0;89125,299608;0;86365,65571;NA;NA;NA
1999;NA;NA;0;NA;NA;0;NA;NA;NA
2101;261796,24302;0;0;164273,32957;0;261796,24302;NA;NA;NA
2102;0;0;0;0;0;0;NA;NA;NA
2103;354575,98178;0;0;354575,98178;0;354575,98178;NA;NA;NA
2104;39095,54703;0;0;39095,54703;0;39095,54703;NA;NA;NA
2105;99162,59473;0;0;99162,59473;0;99162,59473;NA;NA;NA
2106;32728;0;0;32728;0;32728;NA;NA;NA
2108;148283,99948;0;0;112567,48949;0;148283,99948;NA;NA;NA
2110;NA;NA;0;NA;NA;NA;NA;NA;NA
2210;NA;0;0;NA;0;NA;NA;NA;NA
